case,baseline,current,change,firefly_best,selected_methods
fire7_graph5_rank0833,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0834,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0835,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0836,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0837,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0838,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0839,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0840,18,18,0,12,BalancedZippelSeparated
fire7_graph5_rank0841,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0842,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0843,15,15,0,10,BalancedZippelSeparated
fire7_graph5_rank0844,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0845,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0846,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0847,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0848,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0849,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0850,15,15,0,10,BalancedZippelSeparated
fire7_graph5_rank0851,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0852,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0853,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0854,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0855,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0856,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0857,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0858,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0859,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0860,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0861,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0862,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0863,20,20,0,18,BalancedZippelSeparated
fire7_graph5_rank0864,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0865,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0866,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0867,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0868,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0869,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0870,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0871,16,16,0,10,BalancedZippelSeparated
fire7_graph5_rank0872,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0873,18,18,0,11,BalancedZippelSeparated
fire7_graph5_rank0874,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0875,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0876,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0877,15,15,0,10,BalancedZippelSeparated
fire7_graph5_rank0878,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0879,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0880,15,15,0,10,BalancedZippelSeparated
fire7_graph5_rank0881,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0882,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0883,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0884,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0885,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0886,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0887,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0888,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0889,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0890,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0891,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0892,16,16,0,9,BalancedZippelSeparated
fire7_graph5_rank0893,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0894,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0895,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0896,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0897,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0898,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0899,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0900,16,16,0,9,BalancedZippelSeparated
fire7_graph5_rank0901,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0902,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0903,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0904,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0905,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0906,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0907,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0908,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0909,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0910,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0911,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0912,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0913,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0914,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0915,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0916,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0917,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0918,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0919,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0920,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0921,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0922,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0923,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0924,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0925,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0926,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0927,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0928,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0929,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0930,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0931,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0932,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0933,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0934,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0935,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0936,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0937,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0938,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0939,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0940,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0941,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0942,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0943,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0944,13,13,0,3,BalancedZippelSeparated
fire7_graph5_rank0945,13,13,0,3,BalancedZippelSeparated
