case,baseline,current,change,firefly_best,selected_methods
fire7_graph5_rank0159,33,30,-3,35,BalancedZippelSeparated
fire7_graph5_rank0160,27,27,0,32,BalancedZippelSeparated
fire7_graph5_rank0161,26,23,-3,31,BalancedZippelSeparated
fire7_graph5_rank0162,27,25,-2,30,BalancedZippelSeparated
fire7_graph5_rank0163,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0164,31,31,0,36,BalancedZippelSeparated
fire7_graph5_rank0165,29,25,-4,39,BalancedZippelSeparated
fire7_graph5_rank0166,27,27,0,32,BalancedZippelSeparated
fire7_graph5_rank0167,30,28,-2,38,BalancedZippelSeparated
fire7_graph5_rank0168,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0169,29,29,0,33,BalancedZippelSeparated
fire7_graph5_rank0170,32,28,-4,40,BalancedZippelSeparated
fire7_graph5_rank0171,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0172,27,27,0,31,BalancedZippelSeparated
fire7_graph5_rank0173,28,25,-3,31,BalancedZippelSeparated
fire7_graph5_rank0174,26,24,-2,26,BalancedZippelSeparated
fire7_graph5_rank0175,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0176,30,28,-2,31,BalancedZippelSeparated
fire7_graph5_rank0177,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0178,29,27,-2,34,BalancedZippelSeparated
fire7_graph5_rank0179,29,26,-3,32,BalancedZippelSeparated
fire7_graph5_rank0180,33,30,-3,35,BalancedZippelSeparated
fire7_graph5_rank0181,33,30,-3,35,BalancedZippelSeparated
fire7_graph5_rank0182,33,30,-3,35,BalancedZippelSeparated
fire7_graph5_rank0183,25,25,0,27,BalancedZippelSeparated
fire7_graph5_rank0184,26,26,0,28,BalancedZippelSeparated
fire7_graph5_rank0185,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0186,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0187,25,25,0,27,BalancedZippelSeparated
fire7_graph5_rank0188,25,25,0,27,BalancedZippelSeparated
fire7_graph5_rank0189,29,27,-2,34,BalancedZippelSeparated
fire7_graph5_rank0190,28,25,-3,31,BalancedZippelSeparated
fire7_graph5_rank0191,26,26,0,28,BalancedZippelSeparated
fire7_graph5_rank0192,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0193,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0194,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0195,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0196,26,24,-2,30,BalancedZippelSeparated
fire7_graph5_rank0197,26,24,-2,26,BalancedZippelSeparated
fire7_graph5_rank0198,26,24,-2,30,BalancedZippelSeparated
fire7_graph5_rank0199,27,24,-3,33,BalancedZippelSeparated
fire7_graph5_rank0200,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0201,32,32,0,35,BalancedZippelSeparated
fire7_graph5_rank0202,29,25,-4,35,BalancedZippelSeparated
fire7_graph5_rank0203,28,25,-3,31,BalancedZippelSeparated
fire7_graph5_rank0204,23,22,-1,23,BalancedZippelSeparated
fire7_graph5_rank0205,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0206,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0207,25,23,-2,26,BalancedZippelSeparated
