case,baseline,current,change,firefly_best
fire7_nb0_rank0182,415,414,-1,1171
fire7_nb0_rank0183,578,577,-1,1757
fire7_nb0_rank0184,489,488,-1,1256
fire7_nb0_rank0185,371,370,-1,907
fire7_nb0_rank0186,493,492,-1,1416
fire7_nb0_rank0187,394,393,-1,1209
fire7_nb0_rank0188,363,362,-1,1060
fire7_nb0_rank0189,399,398,-1,625
fire7_nb0_rank0190,496,495,-1,1262
fire7_nb0_rank0191,458,457,-1,1160
fire7_nb0_rank0192,325,324,-1,677
fire7_nb0_rank0193,672,671,-1,1483
fire7_nb0_rank0194,413,412,-1,1078
fire7_nb0_rank0195,473,472,-1,1254
fire7_nb0_rank0196,337,336,-1,1046
fire7_nb0_rank0197,411,410,-1,943
fire7_nb0_rank0198,528,527,-1,1453
fire7_nb0_rank0199,546,545,-1,1307
fire7_nb0_rank0200,503,502,-1,1339
fire7_nb0_rank0201,458,457,-1,1233
fire7_nb0_rank0202,519,518,-1,1410
fire7_nb0_rank0203,373,372,-1,840
fire7_nb0_rank0204,544,543,-1,1500
fire7_nb0_rank0205,429,428,-1,878
fire7_nb0_rank0206,429,428,-1,878
fire7_nb0_rank0207,395,394,-1,1215
fire7_nb0_rank0208,483,482,-1,1043
fire7_nb0_rank0209,369,368,-1,1075
fire7_nb0_rank0210,447,446,-1,832
fire7_nb0_rank0211,379,378,-1,1115
fire7_nb0_rank0212,492,491,-1,1310
fire7_nb0_rank0213,396,395,-1,800
fire7_nb0_rank0214,390,389,-1,1078
fire7_nb0_rank0215,374,373,-1,1144
fire7_nb0_rank0216,475,474,-1,1392
fire7_nb0_rank0217,310,309,-1,749
fire7_nb0_rank0218,433,432,-1,1244
fire7_nb0_rank0219,370,369,-1,1175
fire7_nb0_rank0220,493,492,-1,915
fire7_nb0_rank0221,418,417,-1,979
fire7_nb0_rank0222,421,420,-1,952
fire7_nb0_rank0223,421,420,-1,952
fire7_nb0_rank0224,627,626,-1,1482
fire7_nb0_rank0225,506,505,-1,1279
fire7_nb0_rank0226,463,462,-1,1138
fire7_nb0_rank0227,513,512,-1,1687
