case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0009,BalancedZippelSeparated,1,ok,234.801,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.315,BalancedZippelSeparated
fire7_graph5_rank0009,FireFly_default,1,ok,3214.391,69,2,,,,9223372036854775643:1;9223372036854775783:68,FireFly_default,cached_powers_Q,16,14,,
fire7_graph5_rank0009,FireFly_scan,1,ok,8500.349,147,2,,,,9223372036854775643:39;9223372036854775783:108,FireFly_default,cached_powers_Q,16,14,,
fire7_graph5_rank0009,FIRE7_Q_learned,1,ok,2367.278,84,3,2,,,18446744073709551521:3;18446744073709551533:39;18446744073709551557:42,FIRE7_native_64,cached_powers_Q,16,14,,
fire7_graph5_rank0009,Automatic,1,ok,518.032,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.420,BalancedZippel
fire7_graph5_rank0010,BalancedZippelSeparated,1,ok,244.921,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.538,BalancedZippelSeparated
fire7_graph5_rank0010,FireFly_default,1,ok,2607.749,66,2,,,,9223372036854775643:1;9223372036854775783:65,FireFly_default,cached_powers_Q,18,12,,
fire7_graph5_rank0010,FireFly_scan,1,ok,6144.352,150,2,,,,9223372036854775643:35;9223372036854775783:115,FireFly_default,cached_powers_Q,18,12,,
fire7_graph5_rank0010,FIRE7_Q_learned,1,ok,1795.606,110,3,2,,,18446744073709551521:3;18446744073709551533:48;18446744073709551557:59,FIRE7_native_64,cached_powers_Q,18,12,,
fire7_graph5_rank0010,Automatic,1,ok,399.672,45,2,1,0,0,2305843009213693967:42;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.334,BalancedZippel
fire7_graph5_rank0011,BalancedZippelSeparated,1,ok,216.061,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.335,BalancedZippelSeparated
fire7_graph5_rank0011,FireFly_default,1,ok,2553.369,62,2,,,,9223372036854775643:1;9223372036854775783:61,FireFly_default,cached_powers_Q,16,12,,
fire7_graph5_rank0011,FireFly_scan,1,ok,7109.334,142,2,,,,9223372036854775643:35;9223372036854775783:107,FireFly_default,cached_powers_Q,16,12,,
fire7_graph5_rank0011,FIRE7_Q_learned,1,ok,2564.829,110,3,2,,,18446744073709551521:3;18446744073709551533:48;18446744073709551557:59,FIRE7_native_64,cached_powers_Q,16,12,,
fire7_graph5_rank0011,Automatic,1,ok,389.852,45,2,1,0,0,2305843009213693967:42;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.498,BalancedZippel
fire7_graph5_rank0012,BalancedZippelSeparated,1,ok,259.481,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.532,BalancedZippelSeparated
fire7_graph5_rank0012,FireFly_default,1,ok,2470.428,62,2,,,,9223372036854775643:1;9223372036854775783:61,FireFly_default,cached_powers_Q,17,10,,
fire7_graph5_rank0012,FireFly_scan,1,ok,6097.671,140,2,,,,9223372036854775643:33;9223372036854775783:107,FireFly_default,cached_powers_Q,17,10,,
fire7_graph5_rank0012,FIRE7_Q_learned,1,ok,1653.116,110,3,2,,,18446744073709551521:3;18446744073709551533:48;18446744073709551557:59,FIRE7_native_64,cached_powers_Q,17,10,,
fire7_graph5_rank0012,Automatic,1,ok,255.901,44,2,1,0,0,2305843009213693967:41;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.281,BalancedZippel
fire7_graph5_rank0013,BalancedZippelSeparated,1,ok,853.292,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.486,BalancedZippelSeparated
fire7_graph5_rank0013,FireFly_default,1,ok,2179.777,50,2,,,,9223372036854775643:1;9223372036854775783:49,FireFly_default,cached_powers_Q,13,6,,
fire7_graph5_rank0013,FireFly_scan,1,ok,5470.409,115,2,,,,9223372036854775643:27;9223372036854775783:88,FireFly_default,cached_powers_Q,13,6,,
fire7_graph5_rank0013,FIRE7_Q_learned,1,ok,4025.134,80,3,2,,,18446744073709551521:3;18446744073709551533:36;18446744073709551557:41,FIRE7_native_64,cached_powers_Q,13,6,,
fire7_graph5_rank0013,Automatic,1,ok,297.161,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.584,BalancedZippel
fire7_graph5_rank0014,BalancedZippelSeparated,1,ok,324.921,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.639,BalancedZippelSeparated
fire7_graph5_rank0014,FireFly_default,1,ok,2581.459,62,2,,,,9223372036854775643:1;9223372036854775783:61,FireFly_default,cached_powers_Q,17,12,,
fire7_graph5_rank0014,FireFly_scan,1,ok,6062.361,143,2,,,,9223372036854775643:35;9223372036854775783:108,FireFly_default,cached_powers_Q,17,12,,
fire7_graph5_rank0014,FIRE7_Q_learned,1,ok,1820.896,110,3,2,,,18446744073709551521:3;18446744073709551533:48;18446744073709551557:59,FIRE7_native_64,cached_powers_Q,17,12,,
fire7_graph5_rank0014,Automatic,1,ok,255.691,45,2,1,0,0,2305843009213693967:42;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.310,BalancedZippel
fire7_graph5_rank0015,BalancedZippelSeparated,1,ok,376.001,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.281,BalancedZippelSeparated
fire7_graph5_rank0015,FireFly_default,1,ok,2569.028,69,2,,,,9223372036854775643:1;9223372036854775783:68,FireFly_default,cached_powers_Q,16,14,,
fire7_graph5_rank0015,FireFly_scan,1,ok,6054.201,140,2,,,,9223372036854775643:39;9223372036854775783:101,FireFly_default,cached_powers_Q,16,14,,
fire7_graph5_rank0015,FIRE7_Q_learned,1,ok,1635.706,84,3,2,,,18446744073709551521:3;18446744073709551533:39;18446744073709551557:42,FIRE7_native_64,cached_powers_Q,16,14,,
fire7_graph5_rank0015,Automatic,1,ok,530.832,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.407,BalancedZippel
fire7_graph5_rank0016,BalancedZippelSeparated,1,ok,302.681,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.345,BalancedZippelSeparated
fire7_graph5_rank0016,FireFly_default,1,ok,3792.293,69,2,,,,9223372036854775643:1;9223372036854775783:68,FireFly_default,cached_powers_Q,16,14,,
fire7_graph5_rank0016,FireFly_scan,1,ok,6620.283,147,2,,,,9223372036854775643:39;9223372036854775783:108,FireFly_default,cached_powers_Q,16,14,,
fire7_graph5_rank0016,FIRE7_Q_learned,1,ok,1660.466,84,3,2,,,18446744073709551521:3;18446744073709551533:39;18446744073709551557:42,FIRE7_native_64,cached_powers_Q,16,14,,
fire7_graph5_rank0016,Automatic,1,ok,254.181,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.317,BalancedZippel
fire7_graph5_rank0017,BalancedZippelSeparated,1,ok,226.441,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.281,BalancedZippelSeparated
fire7_graph5_rank0017,FireFly_default,1,ok,2538.268,62,2,,,,9223372036854775643:1;9223372036854775783:61,FireFly_default,cached_powers_Q,16,12,,
fire7_graph5_rank0017,FireFly_scan,1,ok,5634.889,142,2,,,,9223372036854775643:35;9223372036854775783:107,FireFly_default,cached_powers_Q,16,12,,
fire7_graph5_rank0017,FIRE7_Q_learned,1,ok,2113.877,110,3,2,,,18446744073709551521:3;18446744073709551533:48;18446744073709551557:59,FIRE7_native_64,cached_powers_Q,16,12,,
