case,num_terms,den_terms,Automatic,BalancedZippelSeparated,FireFly_default,FireFly_scan,FIRE7_Q_learned
fire7_graph5_rank0277,4,4,21,20,20,59,43
fire7_graph5_rank0278,3,6,23,21,24,44,49
fire7_graph5_rank0279,6,5,28,28,26,79,68
fire7_graph5_rank0280,3,8,26,23,29,49,55
fire7_graph5_rank0281,3,8,26,23,29,49,55
fire7_graph5_rank0282,3,6,23,21,22,44,49
fire7_graph5_rank0283,7,3,24,24,25,76,51
fire7_graph5_rank0284,7,4,25,25,27,80,54
fire7_graph5_rank0285,4,4,20,20,23,49,36
fire7_graph5_rank0286,6,4,23,22,23,72,46
fire7_graph5_rank0287,6,4,23,22,23,63,46
fire7_graph5_rank0288,4,4,21,20,20,59,43
fire7_graph5_rank0289,6,4,23,22,23,72,46
fire7_graph5_rank0290,3,6,23,21,24,44,49
fire7_graph5_rank0291,4,8,26,23,31,52,55
fire7_graph5_rank0292,4,4,21,20,20,59,43
fire7_graph5_rank0293,2,4,20,19,18,36,43
fire7_graph5_rank0294,4,8,26,23,31,52,55
fire7_graph5_rank0295,6,8,28,25,31,81,55
fire7_graph5_rank0296,4,6,24,22,24,64,49
fire7_graph5_rank0297,6,4,24,24,23,70,54
fire7_graph5_rank0298,5,4,24,24,23,70,54
fire7_graph5_rank0299,6,3,26,26,28,47,56
fire7_graph5_rank0300,4,6,24,22,24,64,49
fire7_graph5_rank0301,2,6,23,21,22,41,49
fire7_graph5_rank0302,5,6,26,24,27,62,50
fire7_graph5_rank0303,5,3,26,26,25,65,72
fire7_graph5_rank0304,6,4,26,26,28,76,56
fire7_graph5_rank0305,4,3,23,23,21,42,50
fire7_graph5_rank0306,6,8,28,25,31,81,55
fire7_graph5_rank0307,3,6,23,21,24,44,49
fire7_graph5_rank0308,3,6,23,21,22,44,49
fire7_graph5_rank0309,6,6,27,25,31,69,51
fire7_graph5_rank0310,5,6,26,24,27,62,50
fire7_graph5_rank0311,5,6,26,24,27,62,50
fire7_graph5_rank0312,3,6,23,21,22,44,49
fire7_graph5_rank0313,6,5,26,26,26,75,68
fire7_graph5_rank0314,6,5,28,28,30,81,70
fire7_graph5_rank0315,6,4,24,24,23,48,54
fire7_graph5_rank0316,3,3,18,18,17,41,34
fire7_graph5_rank0317,6,4,24,24,23,70,54
fire7_graph5_rank0318,6,4,23,22,23,63,46
fire7_graph5_rank0319,4,4,21,20,20,59,43
fire7_graph5_rank0320,6,6,25,23,26,76,49
fire7_graph5_rank0321,5,6,26,24,27,70,50
fire7_graph5_rank0322,5,6,26,24,27,70,50
fire7_graph5_rank0323,4,6,26,24,25,63,50
fire7_graph5_rank0324,4,3,19,19,21,45,35
fire7_graph5_rank0325,6,4,23,22,23,63,46
fire7_graph5_rank0326,4,4,20,20,23,49,36
fire7_graph5_rank0327,3,8,26,23,27,49,55
fire7_graph5_rank0328,4,6,24,22,26,48,52
fire7_graph5_rank0329,6,6,25,23,26,76,49
fire7_graph5_rank0330,6,6,25,23,26,67,49
fire7_graph5_rank0331,4,4,19,19,20,41,35
fire7_graph5_rank0332,4,6,24,22,26,48,52
fire7_graph5_rank0333,7,3,28,28,31,92,72
fire7_graph5_rank0334,6,6,25,23,26,76,49
fire7_graph5_rank0335,5,2,26,26,27,62,64
fire7_graph5_rank0336,2,6,23,21,22,41,49
fire7_graph5_rank0337,4,8,26,23,31,52,55
fire7_graph5_rank0338,7,3,36,36,39,94,102
fire7_graph5_rank0339,6,4,24,24,26,74,54
fire7_graph5_rank0340,3,3,18,18,17,41,34
fire7_graph5_rank0341,2,4,24,24,23,44,56
fire7_graph5_rank0342,4,4,21,20,20,59,43
fire7_graph5_rank0343,3,4,21,20,20,40,46
fire7_graph5_rank0344,5,4,20,20,23,45,44
fire7_graph5_rank0345,4,4,19,19,20,41,35
fire7_graph5_rank0346,4,2,21,21,19,48,45
fire7_graph5_rank0347,4,3,23,23,25,42,50
fire7_graph5_rank0348,4,3,21,21,17,40,48
fire7_graph5_rank0349,6,4,24,24,23,48,54
fire7_graph5_rank0350,4,4,21,20,20,59,43
fire7_graph5_rank0351,4,4,20,20,23,49,36
fire7_graph5_rank0352,5,3,28,28,31,87,72
fire7_graph5_rank0353,5,4,20,20,23,45,44
fire7_graph5_rank0354,3,4,21,20,20,40,46
fire7_graph5_rank0355,6,3,22,22,21,43,48
fire7_graph5_rank0356,4,3,21,21,17,53,48
fire7_graph5_rank0357,5,3,22,22,21,54,48
fire7_graph5_rank0358,5,4,24,24,23,70,54
fire7_graph5_rank0359,6,4,24,24,23,48,54
fire7_graph5_rank0360,4,3,19,19,21,45,35
fire7_graph5_rank0361,4,4,24,23,23,66,47
fire7_graph5_rank0362,6,3,22,22,21,65,48
fire7_graph5_rank0363,6,3,22,22,21,43,48
fire7_graph5_rank0364,4,4,24,23,23,66,47
fire7_graph5_rank0365,3,4,20,20,23,46,36
fire7_graph5_rank0366,5,3,24,24,25,60,50
fire7_graph5_rank0367,5,3,24,24,25,60,50
fire7_graph5_rank0368,3,3,18,18,17,41,34
fire7_graph5_rank0369,4,6,24,22,26,48,52
fire7_graph5_rank0370,2,6,23,21,22,41,49
fire7_graph5_rank0371,4,4,24,23,23,66,47
fire7_graph5_rank0372,3,6,23,21,22,44,49
fire7_graph5_rank0373,5,3,24,24,25,70,50
fire7_graph5_rank0374,5,4,24,24,20,63,54
fire7_graph5_rank0375,5,3,22,22,23,68,48
fire7_graph5_rank0376,2,6,23,21,22,41,49
fire7_graph5_rank0377,4,4,22,21,23,60,44
fire7_graph5_rank0378,4,6,25,23,26,65,50
fire7_graph5_rank0379,2,4,21,20,18,37,44
fire7_graph5_rank0380,3,4,21,20,20,40,46
fire7_graph5_rank0381,5,3,24,24,25,70,50
fire7_graph5_rank0382,2,4,20,19,18,36,43
fire7_graph5_rank0383,3,4,21,20,20,40,46
fire7_graph5_rank0384,3,4,21,20,20,40,46
fire7_graph5_rank0385,3,3,18,18,17,41,34
fire7_graph5_rank0386,6,3,22,22,21,56,48
fire7_graph5_rank0387,5,3,24,24,25,70,50
fire7_graph5_rank0388,2,4,20,20,18,43,36
fire7_graph5_rank0389,5,4,24,24,23,70,54
fire7_graph5_rank0390,2,4,22,22,20,42,54
fire7_graph5_rank0391,3,4,21,20,20,40,46
fire7_graph5_rank0392,4,3,21,21,17,40,48
fire7_graph5_rank0393,2,6,23,21,22,41,49
fire7_graph5_rank0394,2,6,23,21,22,41,49
fire7_graph5_rank0395,4,4,22,21,23,60,44
fire7_graph5_rank0396,3,6,23,21,24,44,49
fire7_graph5_rank0397,3,6,23,21,24,44,49
fire7_graph5_rank0398,4,4,23,23,23,58,54
fire7_graph5_rank0399,4,3,19,19,21,45,35
fire7_graph5_rank0400,2,6,23,21,22,41,49
fire7_graph5_rank0401,3,2,21,21,19,52,44
fire7_graph5_rank0402,6,3,28,28,27,52,82
fire7_graph5_rank0403,4,4,21,20,20,59,43
fire7_graph5_rank0404,3,4,21,20,18,40,46
fire7_graph5_rank0405,3,6,23,21,24,44,49
fire7_graph5_rank0406,6,4,25,24,26,65,48
fire7_graph5_rank0407,3,8,26,23,29,49,55
fire7_graph5_rank0408,5,3,24,24,25,60,50
fire7_graph5_rank0409,5,3,22,22,21,54,48
fire7_graph5_rank0410,3,4,19,19,20,38,35
fire7_graph5_rank0411,4,4,22,21,23,60,44
