case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
sparse4,BalancedZippel,1,0,384.292,67,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,2,0,715.943,128,0,1,8,0,4,3,12,1
sparse4,CuytLee,2,0,580.172,113,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,2,0,353.872,67,0,1,4,0,4,3,6,0
sparse4,BalancedZippel,3,0,312.841,67,0,1,4,0,4,3,6,0
sparse4,CuytLee,3,0,496.552,113,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,3,0,678.973,128,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,4,0,357.181,67,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,4,0,602.213,128,0,1,8,0,4,3,12,1
sparse4,CuytLee,4,0,542.142,113,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,5,0,673.393,128,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,5,0,325.581,67,0,1,4,0,4,3,6,0
sparse4,CuytLee,5,0,512.552,113,0,1,5,11,4,3,0,0
sparse4,CuytLee,6,0,587.342,113,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,6,0,346.641,67,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,6,0,634.412,128,0,1,8,0,4,3,12,1
sparse4,CuytLee,7,0,550.052,113,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,7,0,726.722,128,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,7,0,393.811,67,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,8,0,715.013,128,0,1,8,0,4,3,12,1
sparse4,CuytLee,8,0,617.923,113,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,8,0,375.561,67,0,1,4,0,4,3,6,0
sparse4,BalancedZippel,9,0,391.282,67,0,1,4,0,4,3,6,0
sparse4,CuytLee,9,0,574.562,113,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,9,0,725.983,128,0,1,8,0,4,3,12,1
homogeneous_shift,CuytLee,1,0,399.352,97,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,1,0,415.991,82,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,1,0,215.031,43,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,2,0,440.352,82,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,2,0,380.671,97,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,2,0,243.721,43,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippel,3,0,229.501,43,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,3,0,364.491,97,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,3,0,435.782,82,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,4,0,223.991,43,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,4,0,398.831,82,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,4,0,406.672,97,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,5,0,434.652,82,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,5,0,219.691,43,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,5,0,373.991,97,1,1,4,8,3,3,0,0
homogeneous_shift,CuytLee,6,0,336.742,97,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,6,0,223.741,43,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,6,0,427.962,82,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,7,0,362.042,97,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,7,0,415.992,82,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,7,0,215.211,43,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,8,0,413.401,82,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,8,0,398.552,97,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,8,0,224.421,43,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippel,9,0,220.111,43,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,9,0,381.472,97,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,9,0,417.091,82,0,1,6,0,3,3,6,1
dense_total3,CuytLee,1,0,808.744,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,1,0,1367.025,255,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,1,0,735.423,142,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,2,0,1316.295,255,0,1,6,0,35,20,36,1
dense_total3,CuytLee,2,0,813.113,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,2,0,748.383,142,0,1,3,0,35,20,18,0
dense_total3,BalancedZippel,3,0,727.853,142,0,1,3,0,35,20,18,0
dense_total3,CuytLee,3,0,823.143,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,3,0,1351.535,255,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,4,0,718.843,142,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,4,0,1309.115,255,0,1,6,0,35,20,36,1
dense_total3,CuytLee,4,0,802.743,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,5,0,1322.225,255,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,5,0,732.403,142,0,1,3,0,35,20,18,0
dense_total3,CuytLee,5,0,784.103,160,0,1,4,14,35,20,0,0
dense_total3,CuytLee,6,0,782.003,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,6,0,736.513,142,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,6,0,1311.975,255,0,1,6,0,35,20,36,1
dense_total3,CuytLee,7,0,803.404,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,7,0,1338.645,255,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,7,0,711.303,142,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,8,0,1305.055,255,0,1,6,0,35,20,36,1
dense_total3,CuytLee,8,0,822.203,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,8,0,718.372,142,0,1,3,0,35,20,18,0
dense_total3,BalancedZippel,9,0,734.963,142,0,1,3,0,35,20,18,0
dense_total3,CuytLee,9,0,883.563,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,9,0,1330.956,255,0,1,6,0,35,20,36,1
dense_box3,CuytLee,1,0,1533.575,226,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,1,0,581.842,86,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,1,0,633.853,102,0,1,3,0,64,27,18,0
dense_box3,BalancedZippelSeparated,2,0,580.192,86,0,1,3,0,64,27,18,0
dense_box3,CuytLee,2,0,1509.045,226,0,1,4,11,64,27,0,0
dense_box3,BalancedZippel,2,0,692.173,102,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,3,0,701.182,102,0,1,3,0,64,27,18,0
dense_box3,CuytLee,3,0,1497.846,226,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,3,0,559.143,86,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,4,0,688.683,102,0,1,3,0,64,27,18,0
dense_box3,BalancedZippelSeparated,4,0,552.012,86,0,1,3,0,64,27,18,0
dense_box3,CuytLee,4,0,1504.126,226,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,5,0,590.903,86,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,5,0,647.102,102,0,1,3,0,64,27,18,0
dense_box3,CuytLee,5,0,1487.006,226,0,1,4,11,64,27,0,0
dense_box3,CuytLee,6,0,1483.706,226,0,1,4,11,64,27,0,0
dense_box3,BalancedZippel,6,0,703.743,102,0,1,3,0,64,27,18,0
dense_box3,BalancedZippelSeparated,6,0,563.653,86,0,1,3,0,64,27,18,0
dense_box3,CuytLee,7,0,1456.296,226,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,7,0,581.862,86,0,1,3,0,64,27,18,0
