case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
paper_eq3,BalancedZippelSeparated,9,0,52.030,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,1,0,51.761,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,1,0,54.030,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,1,0,30.520,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,2,0,55.240,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,2,0,50.480,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,2,0,31.761,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippel,3,0,31.980,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,3,0,51.960,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,3,0,53.830,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,4,0,32.109,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,4,0,52.661,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,4,0,51.820,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,5,0,53.960,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,5,0,31.490,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,5,0,51.411,28,1,1,3,1,2,3,0,0
firefly_shift,CuytLee,6,0,49.480,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,6,0,34.480,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,6,0,54.620,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,7,0,51.461,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,7,0,54.800,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,7,0,31.390,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,8,0,53.600,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,8,0,50.791,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,8,0,32.061,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippel,9,0,32.650,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,9,0,51.310,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,9,0,54.640,29,0,1,4,0,2,3,2,1
sparse3,CuytLee,1,0,442.642,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,1,0,458.801,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,1,0,253.772,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,2,0,455.301,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,2,0,425.522,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,2,0,262.261,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippel,3,0,250.121,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,3,0,423.342,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,3,0,469.231,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,4,0,455.962,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,4,0,468.512,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,4,0,431.192,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,5,0,477.832,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,5,0,243.351,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,5,0,435.511,175,0,1,4,15,4,3,0,0
sparse3,CuytLee,6,0,425.391,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,6,0,255.351,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,6,0,466.302,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,7,0,419.941,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,7,0,469.291,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,7,0,243.061,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,8,0,451.692,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,8,0,436.512,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,8,0,245.491,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippel,9,0,319.381,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,9,0,434.332,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,9,0,455.151,186,0,1,6,0,4,3,6,1
sparse4,CuytLee,1,0,251.011,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,1,0,322.561,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,1,0,171.851,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,2,0,318.731,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,2,0,262.331,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,2,0,174.361,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippel,3,0,174.510,72,0,1,4,0,4,3,6,0
sparse4,CuytLee,3,0,250.061,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,3,0,330.781,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,4,0,174.290,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,4,0,311.442,136,0,1,8,0,4,3,12,1
